Year,State,District,Total_Male,Male_Below_5_years,Male_5 years_&_Above_Below_14_years,Male_14_years_&_Above_Below_18_years,Male_18_years_ &_Above_Below_30_years,Male_30_years_&_ Above_Below_45_years,Male_45_years_&_Above_Below_60_years,Male_60_years_&_Above,Total_Female,Female_Below_5_years,Female_5_years_&_Above_Below_14_years,Female_14_years_&_Above_Below_18_years,Female_18_years_&_Above_Below_30_years,Female_30_years_&_Above_Below_45_years,Female_45_years_&_Above_Below_60_years,Female_60_years_&_Above,Total_Transgender,Transgender_Below_5_years,Transgender_5 years & Above–Below 14  years,Transgender_14_years_&_Above_Below_18_years,Transgender_18_years_&_Above_Below_30_years,Transgender_30_years_&_Above_Below_45_years,Transgender_45_years_&_Above_Below_60_years,Transgender_60_years_&_Above,Grand_Total,Total_Below_5_years,Total_5_years_&_Above_Below_14_years,Total_14 years & Above - Below 18 years,Total_18_years_&_Above_Below_30_years,Total_30_years_&_Above_Below_45_years,Total_45_years_&_Above_Below_60_years,Total_60_years_&_Above
2017-18, Andhra Pradesh,Anantapur,186,0,15,31,69,50,12,9,655,0,11,221,362,50,6,5,0,0,0,0,0,0,0,0,841,0,26,252,431,100,18,14
2017-18, Andhra Pradesh,Chittoor,93,6,19,12,28,15,9,4,354,11,11,116,185,23,3,5,0,0,0,0,0,0,0,0,447,17,30,128,213,38,12,9
2017-18, Andhra Pradesh,Cuddapah,66,2,12,12,19,11,4,6,156,4,9,45,74,19,3,2,0,0,0,0,0,0,0,0,222,6,21,57,93,30,7,8
2017-18, Andhra Pradesh,East Godavari,281,13,22,36,65,81,50,14,411,9,38,110,172,70,6,6,0,0,0,0,0,0,0,0,692,22,60,146,237,151,56,20
2017-18, Andhra Pradesh,Guntakal Railway,9,0,0,2,2,0,1,4,9,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,18,0,0,3,9,0,2,4
2017-18, Andhra Pradesh,Guntur,247,13,36,37,37,61,41,22,348,13,26,34,173,83,13,6,0,0,0,0,0,0,0,0,595,26,62,71,210,144,54,28
2017-18, Andhra Pradesh,Guntur Urban,202,0,22,21,59,51,25,24,293,2,5,39,205,31,4,7,0,0,0,0,0,0,0,0,495,2,27,60,264,82,29,31
2017-18, Andhra Pradesh,Krishna,156,5,11,3,67,37,22,11,264,3,13,1,190,39,13,5,0,0,0,0,0,0,0,0,420,8,24,4,257,76,35,16
2017-18, Andhra Pradesh,Kurnool,153,11,39,14,28,29,22,10,359,12,25,112,120,70,10,10,0,0,0,0,0,0,0,0,512,23,64,126,148,99,32,20
2017-18, Andhra Pradesh,Nellore,156,2,13,18,35,54,26,8,332,1,11,87,167,55,8,3,488,3,24,105,202,109,34,11,976,6,48,210,404,218,68,22
2017-18, Andhra Pradesh,Prakasham,170,6,20,30,54,31,17,12,323,14,14,35,197,46,12,5,0,0,0,0,0,0,0,0,493,20,34,65,251,77,29,17
2017-18, Andhra Pradesh,Rajahmundry,97,0,15,6,28,25,13,10,127,3,8,25,74,11,4,2,0,0,0,0,0,0,0,0,224,3,23,31,102,36,17,12
2017-18, Andhra Pradesh,Srikakulam,75,3,7,10,18,17,10,10,129,7,2,24,76,13,5,2,0,0,0,0,0,0,0,0,204,10,9,34,94,30,15,12
2017-18, Andhra Pradesh,Tirupathi Urban,142,7,9,23,11,29,32,31,185,3,12,46,72,30,11,11,0,0,0,0,0,0,0,0,327,10,21,69,83,59,43,42
2017-18, Andhra Pradesh,Vijayawada City,355,0,21,55,100,85,41,53,626,0,12,130,364,80,14,26,0,0,0,0,0,0,0,0,981,0,33,185,464,165,55,79
2017-18, Andhra Pradesh,Vijayawada Railway,16,2,0,1,4,3,3,3,10,0,0,2,3,3,1,1,0,0,0,0,0,0,0,0,26,2,0,3,7,6,4,4
2017-18, Andhra Pradesh,Visakha Rural,96,5,10,12,26,20,14,9,141,3,6,17,96,12,2,5,0,0,0,0,0,0,0,0,237,8,16,29,122,32,16,14
2017-18, Andhra Pradesh,Visakhapatnam,292,0,1,12,123,99,43,14,403,1,2,19,288,62,17,14,0,0,0,0,0,0,0,0,695,1,3,31,411,161,60,28
2017-18, Andhra Pradesh,Vizianagaram,81,1,5,9,25,17,12,12,169,6,13,52,82,11,3,2,0,0,0,0,0,0,0,0,250,7,18,61,107,28,15,14
2017-18, Andhra Pradesh,West Godavari,275,4,19,24,86,73,39,30,498,8,13,113,267,66,21,10,0,0,0,0,0,0,0,0,773,12,32,137,353,139,60,40
2017-18, Andhra Pradesh,Total,3148,80,296,368,884,788,436,296,5792,100,231,1229,3174,774,157,127,488,3,24,105,202,109,34,11,9428,183,551,1702,4260,1671,627,434
2017-18,Arunachal Pradesh,Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Changlang,1,0,0,0,0,0,1,0,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,2,0,1,0
2017-18,Arunachal Pradesh,Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Kameng East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Kameng West,1,0,0,0,0,0,1,0,4,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,1,1,0
2017-18,Arunachal Pradesh,Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Lohit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Longding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Lower Dibang Valley,1,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0
2017-18,Arunachal Pradesh,Papum Pare City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Papum Pare Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Siang East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Siang Upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Siang West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Subansiri Lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Subansiri Upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Tawang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Tirap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Namsai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Kamle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Lower Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Leparada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Arunachal Pradesh,Total,3,0,0,1,0,0,2,0,12,0,1,6,4,1,0,0,0,0,0,0,0,0,0,0,15,0,1,7,4,1,2,0
2017-18,Assam,BIEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Assam,Barpeta,11,0,0,3,5,2,1,0,13,0,0,3,5,4,1,0,0,0,0,0,0,0,0,0,24,0,0,6,10,6,2,0
2017-18,Assam,Baksa,29,0,8,6,6,7,2,0,106,0,5,7,70,22,1,1,0,0,0,0,0,0,0,0,135,0,13,13,76,29,3,1
2017-18,Assam,Bongaigaon,14,4,1,1,4,2,2,0,104,0,4,28,39,29,4,0,0,0,0,0,0,0,0,0,118,4,5,29,43,31,6,0
2017-18,Assam,CID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Assam,Cachar,122,1,15,14,32,34,19,7,369,2,20,20,206,113,7,1,0,0,0,0,0,0,0,0,491,3,35,34,238,147,26,8
2017-18,Assam,Chirang,39,25,8,4,2,0,0,0,79,0,45,10,20,4,0,0,0,0,0,0,0,0,0,0,118,25,53,14,22,4,0,0
2017-18,Assam,Darrang,29,0,0,0,11,12,6,0,64,0,0,0,34,22,8,0,0,0,0,0,0,0,0,0,93,0,0,0,45,34,14,0
2017-18,Assam,Dhemaji,52,0,6,11,19,10,5,1,89,0,5,10,59,15,0,0,0,0,0,0,0,0,0,0,141,0,11,21,78,25,5,1
2017-18,Assam,Dhubri,63,0,5,12,19,24,2,1,144,0,10,65,63,6,0,0,0,0,0,0,0,0,0,0,207,0,15,77,82,30,2,1
2017-18,Assam,Dibrugarh,26,1,4,3,8,7,3,0,31,0,3,4,12,8,2,2,0,0,0,0,0,0,0,0,57,1,7,7,20,15,5,2
