Year,State,District,Total_Male,Male_Below_12_years,Male_12_years_&_Above_Below_16_years,Male_16_years_&_Above_Below_18_years,Male_Children,Male_18_years_&_Above,Total_Female,Female_Below_12_years,Female_12_years_&_Above_Below_16_years,Female_16_years_&_Above_Below_18_years,Female_Children,Female_18_years_&_Above,Total_Transgender,Transgender_Below_12_years,Transgender_12_years_&_Above_Below_16_years,Transgender_16_years_&_Above_Below_18_years,Transgender_Children,Transgender_18_years_&_Above,Grand_Total,Total_Below_12_years,Total_12_years_&_Above_Below_14_years,Total_14_years_&_Above_Below_18_years,Total_Children,Total_18_years_&_Above
2020-21,Maharashtra,Kolhapur,752,16,1,0,17,735,1412,17,0,0,17,1395,0,0,0,0,0,0,2164,33,1,0,34,2130
2020-21,Maharashtra,Latur,246,0,0,0,0,246,435,0,0,0,0,435,0,0,0,0,0,0,681,0,0,0,0,681
2020-21,Maharashtra,Mumbai Commr.,3786,57,192,200,449,3337,5268,46,540,562,1148,4120,4,0,0,0,0,4,9058,103,732,762,1597,7461
2020-21,Maharashtra,Mumbai Railway,39,9,1,0,10,29,49,3,3,1,7,42,0,0,0,0,0,0,88,12,4,1,17,71
2020-21,Maharashtra,Nagpur Commr.,1385,3,4,21,28,1357,1654,2,1,3,6,1648,0,0,0,0,0,0,3039,5,5,24,34,3005
2020-21,Maharashtra,Nagpur Railway,11,0,0,0,0,11,8,0,0,0,0,8,0,0,0,0,0,0,19,0,0,0,0,19
2020-21,Maharashtra,Nagpur Rural,395,0,0,0,0,395,771,0,0,0,0,771,0,0,0,0,0,0,1166,0,0,0,0,1166
2020-21,Maharashtra,Nanded,393,25,0,0,25,368,495,16,0,0,16,479,0,0,0,0,0,0,888,41,0,0,41,847
2020-21,Maharashtra,Nandurbar,146,15,0,0,15,131,305,12,1,0,13,292,0,0,0,0,0,0,451,27,1,0,28,423
2020-21,Maharashtra,Nasik Commr.,567,0,0,0,0,567,851,0,0,0,0,851,0,0,0,0,0,0,1418,0,0,0,0,1418
2020-21,Maharashtra,Nasik Rural,695,12,2,2,16,679,1204,12,1,0,13,1191,0,0,0,0,0,0,1899,24,3,2,29,1870
2020-21,Maharashtra,Navi Mumbai,749,32,18,6,56,693,927,29,20,8,57,870,0,0,0,0,0,0,1676,61,38,14,113,1563
2020-21,Maharashtra,Osmanabad,225,26,0,0,26,199,373,21,0,0,21,352,0,0,0,0,0,0,598,47,0,0,47,551
2020-21,Maharashtra,Palghar,181,1,0,0,1,180,330,2,0,0,2,328,0,0,0,0,0,0,511,3,0,0,3,508
2020-21,Maharashtra,Parbhani,164,0,0,0,0,164,278,0,0,0,0,278,0,0,0,0,0,0,442,0,0,0,0,442
2020-21,Maharashtra,Pune Commr.,1244,27,16,18,61,1183,1382,25,44,37,106,1276,24,0,3,0,3,21,2650,52,63,55,170,2480
2020-21,Maharashtra,Pune Railway,9,1,0,0,1,8,10,3,0,0,3,7,0,0,0,0,0,0,19,4,0,0,4,15
2020-21,Maharashtra,Pune Rural,856,20,2,4,26,830,1439,22,2,4,28,1411,0,0,0,0,0,0,2295,42,4,8,54,2241
2020-21,Maharashtra,Raigad,221,1,0,4,5,216,320,5,1,20,26,294,0,0,0,0,0,0,541,6,1,24,31,510
2020-21,Maharashtra,Ratnagiri,213,6,2,1,9,204,250,7,1,1,9,241,0,0,0,0,0,0,463,13,3,2,18,445
2020-21,Maharashtra,Sangli,609,26,2,0,28,581,1016,30,0,0,30,986,0,0,0,0,0,0,1625,56,2,0,58,1567
