Year,State,District,Total_Male,Male_Below_12_years,Male_12_years_&_Above_Below_16_years,Male_16_years_&_Above_Below_18_years,Male_Children,Male_18_years_&_Above,Total_Female,Female_Below_12_years,Female_12_years_&_Above_Below_16_years,Female_16_years_&_Above_Below_18_years,Female_Children,Female_18_years_&_Above,Total_Transgender,Transgender_Below_12_years,Transgender_12_years_&_Above_Below_16_years,Transgender_16_years_&_Above_Below_18_years,Transgender_Children,Transgender_18_years_&_Above,Grand_Total,Total_Below_12_years,Total_12_years_&_Above_Below_14_years,Total_14_years_&_Above_Below_18_years,Total_Children,Total_18_years_&_Above
2020-21,Odisha,Kendrapara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,Keonjhar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,Khurda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,Koraput,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,Malkangiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,Mayurbhanj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,Nayagarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,Nabarangpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,Nuapada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,Puri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,Rayagada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,Rourkela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,Sambalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,Sonepur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,SRP(Cuttack),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,SRP(Rourkela),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,Sundargarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Odisha,CID CB,3449,245,96,136,477,2972,12986,569,1153,1934,3656,9330,0,0,0,0,0,0,16435,814,1249,2070,4133,12302
2020-21,Odisha,Total Districts ,3449,245,96,136,477,2972,12986,569,1153,1934,3656,9330,0,0,0,0,0,0,16435,814,1249,2070,4133,12302
2020-21,Punjab,Amritsar Rural,47,3,2,0,5,42,104,1,31,46,78,26,0,0,0,0,0,0,151,4,33,46,83,68
2020-21,Punjab,Barnala,27,0,0,0,0,27,43,0,2,1,3,40,0,0,0,0,0,0,70,0,2,1,3,67
2020-21,Punjab,Batala,39,0,0,0,0,39,35,1,0,0,1,34,0,0,0,0,0,0,74,1,0,0,1,73
2020-21,Punjab,Bathinda,23,0,0,0,0,23,19,0,0,1,1,18,0,0,0,0,0,0,42,0,0,1,1,41
2020-21,Punjab,CP Amritsar,52,0,1,5,6,46,125,1,20,51,72,53,0,0,0,0,0,0,177,1,21,56,78,99
2020-21,Punjab,CP Jalandhar,167,0,0,0,0,167,295,0,0,0,0,295,0,0,0,0,0,0,462,0,0,0,0,462
2020-21,Punjab,CP Ludhiana,64,10,13,3,26,38,112,9,30,16,55,57,0,0,0,0,0,0,176,19,43,19,81,95
2020-21,Punjab,Faridkot,1,0,0,0,0,1,24,0,2,22,24,0,0,0,0,0,0,0,25,0,2,22,24,1
2020-21,Punjab,Fatehgarh Sahib,77,4,0,1,5,72,80,10,5,6,21,59,0,0,0,0,0,0,157,14,5,7,26,131
2020-21,Punjab,Fazilka,53,1,0,3,4,49,51,3,0,10,13,38,0,0,0,0,0,0,104,4,0,13,17,87
2020-21,Punjab,Ferozepur,40,1,0,0,1,39,104,0,31,16,47,57,0,0,0,0,0,0,144,1,31,16,48,96
2020-21,Punjab,GRP,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3
2020-21,Punjab,Gurdaspur,1,0,1,0,1,0,33,1,20,12,33,0,0,0,0,0,0,0,34,1,21,12,34,0
2020-21,Punjab,Hoshiarpur,132,1,3,1,5,127,252,3,11,37,51,201,0,0,0,0,0,0,384,4,14,38,56,328
2020-21,Punjab,Jalandhar Rural,128,4,6,6,16,112,188,10,7,7,24,164,0,0,0,0,0,0,316,14,13,13,40,276
2020-21,Punjab,Kapurthala,34,2,8,0,10,24,39,1,5,0,6,33,0,0,0,0,0,0,73,3,13,0,16,57
2020-21,Punjab,Khanna,69,8,0,1,9,60,87,7,0,9,16,71,0,0,0,0,0,0,156,15,0,10,25,131
2020-21,Punjab,Ludhiana Rural,18,0,0,1,1,17,17,0,0,0,0,17,0,0,0,0,0,0,35,0,0,1,1,34
2020-21,Punjab,Mansa,28,0,1,2,3,25,12,1,0,0,1,11,0,0,0,0,0,0,40,1,1,2,4,36
2020-21,Punjab,Moga,56,0,0,3,3,53,32,2,0,0,2,30,0,0,0,0,0,0,88,2,0,3,5,83
2020-21,Punjab,Muktsar,43,2,0,0,2,41,59,2,1,40,43,16,0,0,0,0,0,0,102,4,1,40,45,57
2020-21,Punjab,Pathankot,1,0,0,1,1,0,5,0,0,5,5,0,0,0,0,0,0,0,6,0,0,6,6,0
2020-21,Punjab,Patiala,62,13,6,1,20,42,248,8,42,72,122,126,0,0,0,0,0,0,310,21,48,73,142,168
2020-21,Punjab,Ropar,44,5,3,1,9,35,72,0,15,24,39,33,0,0,0,0,0,0,116,5,18,25,48,68
2020-21,Punjab,Sangrur,12,2,0,1,3,9,76,2,18,27,47,29,0,0,0,0,0,0,88,4,18,28,50,38
2020-21,Punjab,SAS Nagar,7,4,2,1,7,0,168,8,31,129,168,0,0,0,0,0,0,0,175,12,33,130,175,0
2020-21,Punjab,SBS Nagar,22,1,0,0,1,21,27,5,0,2,7,20,0,0,0,0,0,0,49,6,0,2,8,41
2020-21,Punjab,Tarn Taran,64,1,9,1,11,53,49,0,0,2,2,47,0,0,0,0,0,0,113,1,9,3,13,100
2020-21,Punjab,Bureau of Investigation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Punjab,Intelligence Wing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Punjab,NRI Wing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Punjab,Special Task Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Punjab,Malerkotla,21,0,4,11,15,6,3,0,0,0,0,3,0,0,0,0,0,0,24,0,4,11,15,9
2020-21,Punjab,Total Districts ,1332,62,59,43,164,1168,2362,75,271,535,881,1481,0,0,0,0,0,0,3694,137,330,578,1045,2649
2020-21,Rajasthan,Ajmer,375,20,28,20,68,307,1129,26,64,137,227,902,0,0,0,0,0,0,1504,46,92,157,295,1209
2020-21,Rajasthan,Alwar,192,15,11,10,36,156,378,19,35,29,83,295,0,0,0,0,0,0,570,34,46,39,119,451
2020-21,Rajasthan,Banswara,109,1,2,3,6,103,546,14,55,128,197,349,0,0,0,0,0,0,655,15,57,131,203,452
2020-21,Rajasthan,Baran,108,2,0,5,7,101,506,0,15,106,121,385,0,0,0,0,0,0,614,2,15,111,128,486
2020-21,Rajasthan,Barmer,73,0,6,3,9,64,274,3,45,11,59,215,0,0,0,0,0,0,347,3,51,14,68,279
2020-21,Rajasthan,Bharatpur,103,5,7,2,14,89,183,3,3,2,8,175,0,0,0,0,0,0,286,8,10,4,22,264
2020-21,Rajasthan,Bhilwara,227,0,6,11,17,210,1064,2,24,247,273,791,0,0,0,0,0,0,1291,2,30,258,290,1001
2020-21,Rajasthan,Bikaner,167,0,0,9,9,158,420,0,0,52,52,368,0,0,0,0,0,0,587,0,0,61,61,526
2020-21,Rajasthan,Bundi,99,2,0,3,5,94,553,2,36,80,118,435,0,0,0,0,0,0,652,4,36,83,123,529
2020-21,Rajasthan,Chittorgarh,166,2,6,5,13,153,858,4,57,128,189,669,0,0,0,0,0,0,1024,6,63,133,202,822
2020-21,Rajasthan,Churu,99,0,4,16,20,79,348,0,4,48,52,296,0,0,0,0,0,0,447,0,8,64,72,375
2020-21,Rajasthan,Dausa,92,0,5,16,21,71,183,2,8,34,44,139,0,0,0,0,0,0,275,2,13,50,65,210
2020-21,Rajasthan,Dholpur,67,0,0,6,6,61,113,0,1,11,12,101,0,0,0,0,0,0,180,0,1,17,18,162
2020-21,Rajasthan,Dungarpur,75,2,2,5,9,66,596,2,71,131,204,392,0,0,0,0,0,0,671,4,73,136,213,458
2020-21,Rajasthan,GRP Ajmer,9,0,0,0,0,9,10,0,0,0,0,10,0,0,0,0,0,0,19,0,0,0,0,19
2020-21,Rajasthan,GRP Jodhpur,10,1,0,0,1,9,6,0,0,0,0,6,0,0,0,0,0,0,16,1,0,0,1,15
2020-21,Rajasthan,Ganganagar,299,5,10,7,22,277,864,3,51,84,138,726,0,0,0,0,0,0,1163,8,61,91,160,1003
2020-21,Rajasthan,Hanumangarh,137,0,1,3,4,133,471,1,12,65,78,393,0,0,0,0,0,0,608,1,13,68,82,526
2020-21,Rajasthan,Jaipur East,261,11,11,16,38,223,438,5,34,36,75,363,0,0,0,0,0,0,699,16,45,52,113,586
2020-21,Rajasthan,Jaipur North,211,6,9,7,22,189,390,4,25,52,81,309,0,0,0,0,0,0,601,10,34,59,103,498
2020-21,Rajasthan,Jaipur Rural,170,8,1,19,28,142,424,16,14,45,75,349,0,0,0,0,0,0,594,24,15,64,103,491
2020-21,Rajasthan,Jaipur South,304,6,20,23,49,255,436,2,32,51,85,351,0,0,0,0,0,0,740,8,52,74,134,606
2020-21,Rajasthan,Jaipur West,327,15,16,19,50,277,582,3,89,38,130,452,0,0,0,0,0,0,909,18,105,57,180,729
2020-21,Rajasthan,Jaisalmer,22,0,1,2,3,19,51,0,1,6,7,44,0,0,0,0,0,0,73,0,2,8,10,63
2020-21,Rajasthan,Jalore,79,0,4,7,11,68,416,1,28,46,75,341,0,0,0,0,0,0,495,1,32,53,86,409
2020-21,Rajasthan,Jhalawar,147,1,5,5,11,136,614,4,95,69,168,446,0,0,0,0,0,0,761,5,100,74,179,582
2020-21,Rajasthan,Jhunjhunu,172,4,15,9,28,144,80,6,32,42,80,0,0,0,0,0,0,0,252,10,47,51,108,144
2020-21,Rajasthan,Jodhpur East,140,4,10,3,17,123,288,2,17,25,44,244,0,0,0,0,0,0,428,6,27,28,61,367
2020-21,Rajasthan,Jodhpur West,189,0,6,12,18,171,355,0,2,57,59,296,0,0,0,0,0,0,544,0,8,69,77,467
2020-21,Rajasthan,Jodhpur Rural,65,0,1,3,4,61,215,1,15,18,34,181,0,0,0,0,0,0,280,1,16,21,38,242
2020-21,Rajasthan,Karauli,67,0,8,4,12,55,117,0,17,12,29,88,0,0,0,0,0,0,184,0,25,16,41,143
2020-21,Rajasthan,Kota City,306,7,16,21,44,262,689,3,34,76,113,576,0,0,0,0,0,0,995,10,50,97,157,838
2020-21,Rajasthan,Kota Rural,107,1,7,1,9,98,493,3,38,30,71,422,0,0,0,0,0,0,600,4,45,31,80,520
2020-21,Rajasthan,Nagaur,127,3,5,6,14,113,604,2,56,62,120,484,0,0,0,0,0,0,731,5,61,68,134,597
2020-21,Rajasthan,Pali,137,0,5,10,15,122,1042,2,45,100,147,895,0,0,0,0,0,0,1179,2,50,110,162,1017
2020-21,Rajasthan,Pratapgarh,83,0,0,3,3,80,356,0,0,94,94,262,0,0,0,0,0,0,439,0,0,97,97,342
2020-21,Rajasthan,Rajsamand,129,1,6,6,13,116,736,0,51,90,141,595,0,0,0,0,0,0,865,1,57,96,154,711
2020-21,Rajasthan,Sawai Madhopur,60,1,10,2,13,47,169,0,2,2,4,165,0,0,0,0,0,0,229,1,12,4,17,212
2020-21,Rajasthan,Sikar,188,7,15,16,38,150,685,3,20,112,135,550,0,0,0,0,0,0,873,10,35,128,173,700
2020-21,Rajasthan,Sirohi,86,2,6,5,13,73,392,0,20,51,71,321,0,0,0,0,0,0,478,2,26,56,84,394
2020-21,Rajasthan,Tonk,84,2,2,3,7,77,334,1,23,38,62,272,0,0,0,0,0,0,418,3,25,41,69,349
2020-21,Rajasthan,Udaipur,271,7,9,20,36,235,1226,14,54,183,251,975,0,0,0,0,0,0,1497,21,63,203,287,1210
2020-21,Rajasthan,Jaipur Metro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Rajasthan,SCRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Rajasthan,SOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Rajasthan,SSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Rajasthan,Jaipur Crime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Rajasthan,Bhiwadi,152,11,15,14,40,112,395,9,59,59,127,268,0,0,0,0,0,0,547,20,74,73,167,380
2020-21,Rajasthan,Total Districts ,6291,152,291,360,803,5488,20029,162,1284,2687,4133,15896,0,0,0,0,0,0,26320,314,1575,3047,4936,21384
2020-21,Sikkim,East,33,1,0,0,1,32,64,0,4,0,4,60,0,0,0,0,0,0,97,1,4,0,5,92
2020-21,Sikkim,North,2,0,0,0,0,2,3,0,0,1,1,2,0,0,0,0,0,0,5,0,0,1,1,4
2020-21,Sikkim,South,12,0,1,0,1,11,23,0,0,1,1,22,0,0,0,0,0,0,35,0,1,1,2,33
2020-21,Sikkim,West,4,0,0,0,0,4,28,0,0,0,0,28,0,0,0,0,0,0,32,0,0,0,0,32
2020-21,Sikkim,CID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Sikkim,Total Districts ,51,1,1,0,2,49,118,0,4,2,6,112,0,0,0,0,0,0,169,1,5,2,8,161
2020-21,Tamil Nadu,Ariyalur,45,9,1,2,12,33,247,9,8,55,72,175,0,0,0,0,0,0,292,18,9,57,84,208
2020-21,Tamil Nadu,Chennai,1397,105,77,63,245,1152,2596,99,226,443,768,1828,0,0,0,0,0,0,3993,204,303,506,1013,2980
2020-21,Tamil Nadu,Coimbatore,204,13,19,13,45,159,634,22,20,167,209,425,0,0,0,0,0,0,838,35,39,180,254,584
2020-21,Tamil Nadu,Coimbatore City,185,5,10,15,30,155,368,5,25,56,86,282,0,0,0,0,0,0,553,10,35,71,116,437
2020-21,Tamil Nadu,Cuddalore,127,4,3,5,12,115,509,2,8,36,46,463,0,0,0,0,0,0,636,6,11,41,58,578
2020-21,Tamil Nadu,Dharmapuri,47,6,4,11,21,26,203,4,2,75,81,122,0,0,0,0,0,0,250,10,6,86,102,148
2020-21,Tamil Nadu,Dindigul,169,25,21,13,59,110,620,50,21,166,237,383,0,0,0,0,0,0,789,75,42,179,296,493
2020-21,Tamil Nadu,Erode,114,11,9,10,30,84,401,11,24,140,175,226,0,0,0,0,0,0,515,22,33,150,205,310
2020-21,Tamil Nadu,Kanchipuram,100,0,4,2,6,94,363,0,8,38,46,317,0,0,0,0,0,0,463,0,12,40,52,411
2020-21,Tamil Nadu,Kanyakumari,173,11,27,10,48,125,328,20,18,11,49,279,1,0,0,0,0,1,502,31,45,21,97,405
2020-21,Tamil Nadu,Karur,56,6,6,3,15,41,256,12,15,50,77,179,0,0,0,0,0,0,312,18,21,53,92,220
2020-21,Tamil Nadu,Krishnagiri,68,9,12,4,25,43,164,13,27,17,57,107,0,0,0,0,0,0,232,22,39,21,82,150
2020-21,Tamil Nadu,Madurai,173,13,18,19,50,123,504,9,15,111,135,369,0,0,0,0,0,0,677,22,33,130,185,492
2020-21,Tamil Nadu,Madurai City,217,26,12,7,45,172,479,29,21,55,105,374,0,0,0,0,0,0,696,55,33,62,150,546
2020-21,Tamil Nadu,Nagapattinam,77,21,3,4,28,49,317,16,36,6,58,259,0,0,0,0,0,0,394,37,39,10,86,308
2020-21,Tamil Nadu,Namakkal,104,11,14,8,33,71,418,13,25,88,126,292,0,0,0,0,0,0,522,24,39,96,159,363
2020-21,Tamil Nadu,Nilgiris,42,6,5,1,12,30,122,7,21,21,49,73,0,0,0,0,0,0,164,13,26,22,61,103
2020-21,Tamil Nadu,Perambalur,54,14,1,1,16,38,219,18,19,30,67,152,0,0,0,0,0,0,273,32,20,31,83,190
2020-21,Tamil Nadu,Pudukottai,125,0,7,32,39,86,468,0,35,52,87,381,0,0,0,0,0,0,593,0,42,84,126,467
2020-21,Tamil Nadu,Ramnathapuram,99,8,17,10,35,64,307,10,11,25,46,261,0,0,0,0,0,0,406,18,28,35,81,325
2020-21,Tamil Nadu,Railway Chennai,17,0,0,1,1,16,5,0,0,0,0,5,0,0,0,0,0,0,22,0,0,1,1,21
2020-21,Tamil Nadu,Railway Trichy,2,0,0,0,0,2,5,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,7
2020-21,Tamil Nadu,Salem,81,7,5,12,24,57,363,11,24,114,149,214,0,0,0,0,0,0,444,18,29,126,173,271
2020-21,Tamil Nadu,Salem City,151,17,19,14,50,101,359,14,20,43,77,282,1,0,1,0,1,0,511,31,40,57,128,383
2020-21,Tamil Nadu,Sivagangai,85,22,2,3,27,58,313,33,42,30,105,208,0,0,0,0,0,0,398,55,44,33,132,266
2020-21,Tamil Nadu,Thanjavur,153,33,6,4,43,110,584,26,39,114,179,405,0,0,0,0,0,0,737,59,45,118,222,515
2020-21,Tamil Nadu,Theni,111,25,5,11,41,70,369,32,28,88,148,221,0,0,0,0,0,0,480,57,33,99,189,291
2020-21,Tamil Nadu,Thirunelveli,98,14,10,9,33,65,273,7,20,63,90,183,0,0,0,0,0,0,371,21,30,72,123,248
2020-21,Tamil Nadu,Thirunelveli City,66,9,6,0,15,51,138,14,34,0,48,90,0,0,0,0,0,0,204,23,40,0,63,141
2020-21,Tamil Nadu,Thiruvallur,230,14,37,12,63,167,706,16,37,109,162,544,0,0,0,0,0,0,936,30,74,121,225,711
2020-21,Tamil Nadu,Thiruvannamalai,119,27,8,6,41,78,517,18,25,103,146,371,0,0,0,0,0,0,636,45,33,109,187,449
2020-21,Tamil Nadu,Thiruvarur,34,9,6,0,15,19,153,7,4,22,33,120,0,0,0,0,0,0,187,16,10,22,48,139
2020-21,Tamil Nadu,Thoothukudi,196,17,24,20,61,135,513,11,33,100,144,369,0,0,0,0,0,0,709,28,57,120,205,504
2020-21,Tamil Nadu,Tiruppur,119,0,8,5,13,106,313,17,97,17,131,182,0,0,0,0,0,0,432,17,105,22,144,288
2020-21,Tamil Nadu,Tiruppur City,117,1,8,5,14,103,333,0,21,61,82,251,0,0,0,0,0,0,450,1,29,66,96,354
2020-21,Tamil Nadu,Trichy,80,9,6,10,25,55,281,4,7,61,72,209,0,0,0,0,0,0,361,13,13,71,97,264
2020-21,Tamil Nadu,Trichy City,110,14,6,3,23,87,245,16,26,25,67,178,1,0,0,0,0,1,356,30,32,28,90,266
2020-21,Tamil Nadu,Vellore,82,2,4,8,14,68,339,6,14,96,116,223,0,0,0,0,0,0,421,8,18,104,130,291
2020-21,Tamil Nadu,Villupuram,150,0,11,0,11,139,529,0,28,22,50,479,0,0,0,0,0,0,679,0,39,22,61,618
2020-21,Tamil Nadu,Virudhunagar,125,16,19,11,46,79,397,11,26,116,153,244,0,0,0,0,0,0,522,27,45,127,199,323
2020-21,Tamil Nadu,Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Tamil Nadu,Other Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Tamil Nadu,Chengalpattu,151,16,5,2,23,128,428,24,26,26,76,352,0,0,0,0,0,0,579,40,31,28,99,480
2020-21,Tamil Nadu,Kallakurichi,91,4,8,12,24,67,170,5,6,66,77,93,0,0,0,0,0,0,261,9,14,78,101,160
2020-21,Tamil Nadu,Ranipet,68,6,1,3,10,58,243,9,13,44,66,177,0,0,0,0,0,0,311,15,14,47,76,235
2020-21,Tamil Nadu,Tiruppattur,89,10,12,2,24,65,247,7,17,14,38,209,0,0,0,0,0,0,336,17,29,16,62,274
2020-21,Tamil Nadu,Tenkasi,103,19,16,2,37,66,358,29,43,57,129,229,0,0,0,0,0,0,461,48,59,59,166,295
2020-21,Tamil Nadu,Total Districts ,6204,594,502,388,1484,4720,17704,666,1215,3033,4914,12790,3,0,1,0,1,2,23911,1260,1718,3421,6399,17512
2020-21,Telangana,Cyberabad Commissionerate,1865,201,39,16,256,1609,2435,211,46,46,303,2132,0,0,0,0,0,0,4300,412,85,62,559,3741
2020-21,Telangana,Hyderabad Commissionerate,1580,48,222,0,270,1310,2169,52,399,0,451,1718,0,0,0,0,0,0,3749,100,621,0,721,3028
2020-21,Telangana,Karimnagar Commissionerate,118,15,9,2,26,92,324,8,13,39,60,264,0,0,0,0,0,0,442,23,22,41,86,356
2020-21,Telangana,Khammam Commissionerate,156,27,3,0,30,126,410,21,6,14,41,369,0,0,0,0,0,0,566,48,9,14,71,495
2020-21,Telangana,Nizamabad Commissionerate,234,30,12,4,46,188,490,46,37,46,129,361,0,0,0,0,0,0,724,76,49,50,175,549
2020-21,Telangana,Rachakonda Commissionerate,2018,0,22,200,222,1796,1440,0,69,200,269,1171,0,0,0,0,0,0,3458,0,91,400,491,2967
2020-21,Telangana,Ramagundam Commissionerate,170,16,8,2,26,144,425,22,6,2,30,395,0,0,0,0,0,0,595,38,14,4,56,539
2020-21,Telangana,Siddipet Commissionerate,203,21,5,4,30,173,399,26,18,33,77,322,0,0,0,0,0,0,602,47,23,37,107,495
2020-21,Telangana,Warangal Commissionerate,281,52,5,8,65,216,897,53,76,116,245,652,0,0,0,0,0,0,1178,105,81,124,310,868
2020-21,Telangana,Adilabad,46,7,0,2,9,37,89,6,1,2,9,80,0,0,0,0,0,0,135,13,1,4,18,117
2020-21,Telangana,Bhadradri Kothagudem,152,16,7,0,23,129,388,18,61,0,79,309,0,0,0,0,0,0,540,34,68,0,102,438
2020-21,Telangana,Jagityal,85,14,5,1,20,65,350,3,9,64,76,274,0,0,0,0,0,0,435,17,14,65,96,339
2020-21,Telangana,Jayashankar Bhupalpalli,27,0,0,4,4,23,78,0,0,4,4,74,0,0,0,0,0,0,105,0,0,8,8,97
2020-21,Telangana,Jogulamba Gadwal,50,8,4,4,16,34,119,4,7,6,17,102,0,0,0,0,0,0,169,12,11,10,33,136
2020-21,Telangana,Kamareddy ,170,9,15,15,39,131,343,10,45,55,110,233,0,0,0,0,0,0,513,19,60,70,149,364
2020-21,Telangana,Kumaram Bheem Asifabad,47,3,1,2,6,41,82,3,5,12,20,62,0,0,0,0,0,0,129,6,6,14,26,103
2020-21,Telangana,Mahabubabad,56,3,6,1,10,46,180,6,39,11,56,124,0,0,0,0,0,0,236,9,45,12,66,170
2020-21,Telangana,Mahabubnagar,145,28,8,14,50,95,358,23,7,3,33,325,0,0,0,0,0,0,503,51,15,17,83,420
2020-21,Telangana,Medak,118,14,3,1,18,100,179,11,6,12,29,150,0,0,0,0,0,0,297,25,9,13,47,250
2020-21,Telangana,Nagarkurnool,76,13,3,5,21,55,218,14,13,37,64,154,0,0,0,0,0,0,294,27,16,42,85,209
2020-21,Telangana,Nalgonda,131,14,5,6,25,106,335,19,1,22,42,293,0,0,0,0,0,0,466,33,6,28,67,399
2020-21,Telangana,Nirmal,68,0,1,6,7,61,150,5,4,7,16,134,0,0,0,0,0,0,218,5,5,13,23,195
2020-21,Telangana,Rajanna Siricilla,56,1,0,1,2,54,104,1,1,11,13,91,0,0,0,0,0,0,160,2,1,12,15,145
2020-21,Telangana,Sangareddy,256,32,10,18,60,196,512,23,25,135,183,329,0,0,0,0,0,0,768,55,35,153,243,525
2020-21,Telangana,Suryapet,127,21,2,8,31,96,282,22,5,18,45,237,0,0,0,0,0,0,409,43,7,26,76,333
2020-21,Telangana,Vikarabad,110,20,9,3,32,78,216,14,2,10,26,190,0,0,0,0,0,0,326,34,11,13,58,268
2020-21,Telangana,Wanaparthy,54,0,6,12,18,36,182,0,12,53,65,117,0,0,0,0,0,0,236,0,18,65,83,153
2020-21,Telangana,Railway Police Secunderabad,11,0,0,0,0,11,13,0,1,0,1,12,0,0,0,0,0,0,24,0,1,0,1,23
2020-21,Telangana,Mulug,21,0,4,0,4,17,71,2,8,56,66,5,0,0,0,0,0,0,92,2,12,56,70,22
2020-21,Telangana,Narayanpet,34,9,7,0,16,18,122,13,2,0,15,107,0,0,0,0,0,0,156,22,9,0,31,125
2020-21,Telangana,Total Districts ,8465,622,421,339,1382,7083,13360,636,924,1014,2574,10786,0,0,0,0,0,0,21825,1258,1345,1353,3956,17869
2020-21,Tripura,Dhalai,35,1,1,0,2,33,126,2,3,5,10,116,0,0,0,0,0,0,161,3,4,5,12,149
2020-21,Tripura,Gomati,32,0,0,0,0,32,215,0,1,9,10,205,0,0,0,0,0,0,247,0,1,9,10,237
2020-21,Tripura,GRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Tripura,Kowai,50,2,0,0,2,48,84,2,0,0,2,82,0,0,0,0,0,0,134,4,0,0,4,130
2020-21,Tripura,North,4,0,1,0,1,3,18,0,9,0,9,9,0,0,0,0,0,0,22,0,10,0,10,12
2020-21,Tripura,Sipahijala,30,0,1,0,1,29,79,0,9,4,13,66,0,0,0,0,0,0,109,0,10,4,14,95
2020-21,Tripura,South,69,3,5,4,12,57,163,3,4,9,16,147,0,0,0,0,0,0,232,6,9,13,28,204
2020-21,Tripura,Unakoti,27,2,1,0,3,24,78,0,8,8,16,62,0,0,0,0,0,0,105,2,9,8,19,86
2020-21,Tripura,West,177,6,4,2,12,165,433,12,18,14,44,389,0,0,0,0,0,0,610,18,22,16,56,554
2020-21,Tripura,Total Districts ,424,14,13,6,33,391,1196,19,52,49,120,1076,0,0,0,0,0,0,1620,33,65,55,153,1467
2020-21,Uttar Pradesh,Agra,306,4,23,10,37,269,366,3,15,28,46,320,0,0,0,0,0,0,672,7,38,38,83,589
2020-21,Uttar Pradesh,Aligarh,87,1,5,4,10,77,91,2,3,1,6,85,0,0,0,0,0,0,178,3,8,5,16,162
2020-21,Uttar Pradesh,Prayagraj,139,4,2,15,21,118,221,4,4,52,60,161,0,0,0,0,0,0,360,8,6,67,81,279
2020-21,Uttar Pradesh,Ambedkar Nagar,46,0,0,2,2,44,43,0,0,8,8,35,0,0,0,0,0,0,89,0,0,10,10,79
2020-21,Uttar Pradesh,Amethi,19,0,3,3,6,13,41,1,3,9,13,28,0,0,0,0,0,0,60,1,6,12,19,41
2020-21,Uttar Pradesh,Amroha,6,0,0,6,6,0,37,12,25,0,37,0,0,0,0,0,0,0,43,12,25,6,43,0
