Year,State,District,Total_Male,Male_Below_5_years,Male_5 years_&_Above_Below_14_years,Male_14_years_&_Above_Below_18_years,Male_18_years_ &_Above_Below_30_years,Male_30_years_&_ Above_Below_45_years,Male_45_years_&_Above_Below_60_years,Male_60_years_&_Above,Total_Female,Female_Below_5_years,Female_5_years_&_Above_Below_14_years,Female_14_years_&_Above_Below_18_years,Female_18_years_&_Above_Below_30_years,Female_30_years_&_Above_Below_45_years,Female_45_years_&_Above_Below_60_years,Female_60_years_&_Above,Total_Transgender,Transgender_Below_5_years,Transgender_5 years & Above–Below 14  years,Transgender_14_years_&_Above_Below_18_years,Transgender_18_years_&_Above_Below_30_years,Transgender_30_years_&_Above_Below_45_years,Transgender_45_years_&_Above_Below_60_years,Transgender_60_years_&_Above,Grand_Total,Total_Below_5_years,Total_5_years_&_Above_Below_14_years,Total_14 years & Above - Below 18 years,Total_18_years_&_Above_Below_30_years,Total_30_years_&_Above_Below_45_years,Total_45_years_&_Above_Below_60_years,Total_60_years_&_Above
2019-20,Gujarat,Cyber Surat Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Gujarat,Cyber Vadodara Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Gujarat,Total Districts ,3758,99,119,71,1477,1142,570,280,8290,112,175,628,5969,1120,194,92,1,0,0,0,1,0,0,0,12049,211,294,699,7447,2262,764,372
2019-20,Haryana,Ambala,173,4,6,2,73,48,24,16,230,4,5,7,169,38,4,3,0,0,0,0,0,0,0,0,403,8,11,9,242,86,28,19
2019-20,Haryana,Bhiwani,138,9,9,21,57,24,13,5,305,6,8,34,216,38,3,0,0,0,0,0,0,0,0,0,443,15,17,55,273,62,16,5
2019-20,Haryana,Faridabad,426,25,29,18,187,101,40,26,660,20,22,13,478,109,12,6,0,0,0,0,0,0,0,0,1086,45,51,31,665,210,52,32
2019-20,Haryana,Fatehabad,101,7,11,9,32,33,6,3,250,13,5,9,175,46,2,0,0,0,0,0,0,0,0,0,351,20,16,18,207,79,8,3
2019-20,Haryana,GRP,3,0,0,0,2,1,0,0,7,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,10,0,0,1,4,5,0,0
2019-20,Haryana,Gurugram,174,0,7,18,45,68,29,7,342,2,13,106,146,70,3,2,0,0,0,0,0,0,0,0,516,2,20,124,191,138,32,9
2019-20,Haryana,Hissar,135,0,6,20,48,42,17,2,417,0,6,51,298,56,6,0,0,0,0,0,0,0,0,0,552,0,12,71,346,98,23,2
2019-20,Haryana,Jhajjar,143,0,6,16,75,39,5,2,259,0,1,22,119,107,7,3,0,0,0,0,0,0,0,0,402,0,7,38,194,146,12,5
2019-20,Haryana,Jind,149,8,8,22,45,33,26,7,283,9,9,47,177,36,2,3,0,0,0,0,0,0,0,0,432,17,17,69,222,69,28,10
2019-20,Haryana,Kaithal,121,2,5,13,45,28,21,7,126,5,1,7,79,26,6,2,0,0,0,0,0,0,0,0,247,7,6,20,124,54,27,9
2019-20,Haryana,Karnal,109,0,4,11,34,33,18,9,132,2,3,12,73,37,4,1,0,0,0,0,0,0,0,0,241,2,7,23,107,70,22,10
2019-20,Haryana,Kurukshetra,188,5,4,1,100,70,7,1,288,4,7,41,120,111,5,0,0,0,0,0,0,0,0,0,476,9,11,42,220,181,12,1
2019-20,Haryana,Mahendergarh,69,8,5,11,23,13,5,4,237,9,4,29,169,25,1,0,0,0,0,0,0,0,0,0,306,17,9,40,192,38,6,4
2019-20,Haryana,Nuh,40,3,5,4,18,6,2,2,55,1,7,3,27,17,0,0,0,0,0,0,0,0,0,0,95,4,12,7,45,23,2,2
2019-20,Haryana,Palwal,97,2,6,13,42,21,9,4,194,4,6,48,116,17,2,1,0,0,0,0,0,0,0,0,291,6,12,61,158,38,11,5
2019-20,Haryana,Panchkula,69,0,2,9,22,22,8,6,210,0,3,38,148,19,2,0,0,0,0,0,0,0,0,0,279,0,5,47,170,41,10,6
2019-20,Haryana,Panipat,286,11,23,33,77,82,44,16,479,13,31,169,139,98,26,3,0,0,0,0,0,0,0,0,765,24,54,202,216,180,70,19
2019-20,Haryana,Rewari,147,7,13,16,53,35,15,8,315,9,15,46,200,41,1,3,0,0,0,0,0,0,0,0,462,16,28,62,253,76,16,11
2019-20,Haryana,Rohtak,272,0,7,30,116,75,33,11,403,0,5,45,284,53,12,4,0,0,0,0,0,0,0,0,675,0,12,75,400,128,45,15
2019-20,Haryana,Sirsa,111,0,6,12,38,37,10,8,444,0,8,87,292,50,4,3,0,0,0,0,0,0,0,0,555,0,14,99,330,87,14,11
2019-20,Haryana,Sonipat,232,5,18,39,79,51,22,18,435,4,7,67,276,67,6,8,0,0,0,0,0,0,0,0,667,9,25,106,355,118,28,26
2019-20,Haryana,Yamunanagar,220,9,15,23,71,60,29,13,369,7,18,47,220,64,8,5,0,0,0,0,0,0,0,0,589,16,33,70,291,124,37,18
2019-20,Haryana,Irrigation & Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Haryana,Charkhi Dadri,41,0,3,5,9,12,8,4,111,0,1,8,80,21,1,0,0,0,0,0,0,0,0,0,152,0,4,13,89,33,9,4
2019-20,Haryana,Hansi,62,0,3,5,27,20,7,0,147,0,0,13,115,15,3,1,0,0,0,0,0,0,0,0,209,0,3,18,142,35,10,1
2019-20,Haryana,Total Districts ,3506,105,201,351,1318,954,398,179,6698,112,185,950,4118,1165,120,48,0,0,0,0,0,0,0,0,10204,217,386,1301,5436,2119,518,227
2019-20,Himachal Pradesh,Baddi,41,0,5,1,20,10,3,2,204,0,5,15,170,11,3,0,0,0,0,0,0,0,0,0,245,0,10,16,190,21,6,2
2019-20,Himachal Pradesh,Bilaspur,41,0,1,2,13,12,10,3,126,0,1,20,84,19,1,1,0,0,0,0,0,0,0,0,167,0,2,22,97,31,11,4
2019-20,Himachal Pradesh,Chamba,35,0,0,1,12,15,5,2,65,0,0,16,37,12,0,0,0,0,0,0,0,0,0,0,100,0,0,17,49,27,5,2
2019-20,Himachal Pradesh,CID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Himachal Pradesh,GRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Himachal Pradesh,Hamirpur,37,0,4,1,11,11,9,1,70,0,0,7,48,11,2,2,0,0,0,0,0,0,0,0,107,0,4,8,59,22,11,3
2019-20,Himachal Pradesh,Kangra,48,0,1,2,22,10,8,5,75,0,0,5,58,11,1,0,0,0,0,0,0,0,0,0,123,0,1,7,80,21,9,5
2019-20,Himachal Pradesh,Kinnaur,22,0,1,0,9,8,3,1,27,0,0,6,11,7,1,2,0,0,0,0,0,0,0,0,49,0,1,6,20,15,4,3
2019-20,Himachal Pradesh,Kullu,42,0,4,3,15,13,2,5,66,0,0,10,31,18,3,4,0,0,0,0,0,0,0,0,108,0,4,13,46,31,5,9
2019-20,Himachal Pradesh,Lahaul & Spiti,3,0,0,0,2,0,0,1,5,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,8,0,0,0,5,1,0,2
2019-20,Himachal Pradesh,Mandi,76,0,3,8,25,24,10,6,222,0,2,54,125,36,5,0,0,0,0,0,0,0,0,0,298,0,5,62,150,60,15,6
2019-20,Himachal Pradesh,Shimla,18,0,8,8,1,1,0,0,53,0,12,34,6,1,0,0,0,0,0,0,0,0,0,0,71,0,20,42,7,2,0,0
2019-20,Himachal Pradesh,Sirmaur,43,1,3,1,16,10,9,3,90,2,3,10,54,19,2,0,0,0,0,0,0,0,0,0,133,3,6,11,70,29,11,3
2019-20,Himachal Pradesh,Solan,25,0,0,4,9,7,5,0,74,0,3,14,41,14,2,0,0,0,0,0,0,0,0,0,99,0,3,18,50,21,7,0
2019-20,Himachal Pradesh,Una,16,0,1,0,2,10,3,0,18,0,1,5,7,5,0,0,0,0,0,0,0,0,0,0,34,0,2,5,9,15,3,0
2019-20,Himachal Pradesh,Cyber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Himachal Pradesh,Total Districts ,447,1,31,31,157,131,67,29,1095,2,27,196,675,165,20,10,0,0,0,0,0,0,0,0,1542,3,58,227,832,296,87,39
2019-20,Kashmir,Anantnag,39,0,0,0,28,5,4,2,53,0,0,16,27,10,0,0,0,0,0,0,0,0,0,0,92,0,0,16,55,15,4,2
2019-20,Kashmir,Awantipora,38,0,0,0,34,3,1,0,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,43,0,0,0,37,5,1,0
2019-20,Kashmir,Bandipora,18,0,0,5,6,6,1,0,16,0,0,2,10,3,0,1,0,0,0,0,0,0,0,0,34,0,0,7,16,9,1,1
2019-20,Kashmir,Baramulla,0,0,0,0,0,0,0,0,67,0,5,25,37,0,0,0,0,0,0,0,0,0,0,0,67,0,5,25,37,0,0,0
2019-20,Kashmir,Budgam,21,0,1,0,16,2,2,0,33,0,0,0,25,8,0,0,0,0,0,0,0,0,0,0,54,0,1,0,41,10,2,0
2019-20,Kashmir,Crime Jammu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Kashmir,Crime Srinagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Kashmir,Doda,25,0,0,2,10,9,4,0,68,0,0,0,38,20,10,0,0,0,0,0,0,0,0,0,93,0,0,2,48,29,14,0
2019-20,Kashmir,Ganderbal,25,1,0,1,15,5,3,0,39,0,0,0,24,13,2,0,0,0,0,0,0,0,0,0,64,1,0,1,39,18,5,0
2019-20,Kashmir,Handwara,8,0,1,0,7,0,0,0,15,0,1,4,8,2,0,0,0,0,0,0,0,0,0,0,23,0,2,4,15,2,0,0
2019-20,Kashmir,Jammu,136,0,0,0,65,32,36,3,257,0,0,0,202,33,22,0,0,0,0,0,0,0,0,0,393,0,0,0,267,65,58,3
2019-20,Kashmir,Kathua,41,1,4,1,14,16,5,0,162,3,5,19,89,44,2,0,0,0,0,0,0,0,0,0,203,4,9,20,103,60,7,0
2019-20,Kashmir,Kishtwar,4,0,0,0,2,1,1,0,34,0,0,0,29,3,1,1,0,0,0,0,0,0,0,0,38,0,0,0,31,4,2,1
2019-20,Kashmir,Kulgam,35,0,0,1,31,1,2,0,18,0,0,4,12,2,0,0,0,0,0,0,0,0,0,0,53,0,0,5,43,3,2,0
2019-20,Kashmir,Kupwara,19,0,1,1,9,5,2,1,52,0,0,5,33,10,3,1,0,0,0,0,0,0,0,0,71,0,1,6,42,15,5,2
2019-20,Kashmir,Poonch,14,1,0,2,7,4,0,0,77,1,3,12,50,11,0,0,0,0,0,0,0,0,0,0,91,2,3,14,57,15,0,0
2019-20,Kashmir,Pulwama,18,0,0,0,14,2,2,0,10,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,28,0,0,0,20,4,4,0
2019-20,Kashmir,Railways Jammu,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2019-20,Kashmir,Railways Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Kashmir,Railways Katra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Kashmir,Rajouri,15,0,1,4,7,3,0,0,80,0,1,5,61,11,2,0,0,0,0,0,0,0,0,0,95,0,2,9,68,14,2,0
2019-20,Kashmir,Ramban,8,0,0,0,3,2,1,2,40,0,0,1,28,11,0,0,0,0,0,0,0,0,0,0,48,0,0,1,31,13,1,2
2019-20,Kashmir,Reasi,11,0,0,0,7,3,1,0,60,0,0,0,44,15,1,0,0,0,0,0,0,0,0,0,71,0,0,0,51,18,2,0
2019-20,Kashmir,Samba,35,0,2,0,20,5,5,3,43,1,0,4,24,10,3,1,0,0,0,0,0,0,0,0,78,1,2,4,44,15,8,4
2019-20,Kashmir,Shopian,43,0,0,10,28,5,0,0,33,0,0,8,20,5,0,0,0,0,0,0,0,0,0,0,76,0,0,18,48,10,0,0
2019-20,Kashmir,Sopore,21,0,0,6,12,3,0,0,67,0,0,22,35,10,0,0,0,0,0,0,0,0,0,0,88,0,0,28,47,13,0,0
2019-20,Kashmir,Srinagar,105,0,4,0,49,29,13,10,102,0,5,0,54,29,11,3,0,0,0,0,0,0,0,0,207,0,9,0,103,58,24,13
2019-20,Kashmir,Udhampur,36,5,2,6,11,6,4,2,73,2,3,10,45,9,4,0,0,0,0,0,0,0,0,0,109,7,5,16,56,15,8,2
2019-20,Kashmir,Total Districts ,716,8,16,39,395,148,87,23,1404,7,23,137,904,263,63,7,0,0,0,0,0,0,0,0,2120,15,39,176,1299,411,150,30
2019-20,Jharkhand,Bokaro,11,0,0,11,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0
2019-20,Jharkhand,Chaibasa,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
2019-20,Jharkhand,Chatra,17,0,7,2,2,3,1,2,20,0,0,6,10,3,0,1,0,0,0,0,0,0,0,0,37,0,7,8,12,6,1,3
2019-20,Jharkhand,Deoghar,11,0,3,3,4,0,0,1,5,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,16,0,3,4,6,2,0,1
2019-20,Jharkhand,Dhanbad,3,0,0,1,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,2,1,0,0
2019-20,Jharkhand,Dhanbad Railway,5,1,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,2,2,0,0
2019-20,Jharkhand,Dumka,15,0,5,6,2,1,1,0,16,0,2,7,5,2,0,0,0,0,0,0,0,0,0,0,31,0,7,13,7,3,1,0
2019-20,Jharkhand,Garhwa,5,0,1,4,0,0,0,0,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,23,0,0,0,0
2019-20,Jharkhand,Giridih,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Jharkhand,Godda,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0
2019-20,Jharkhand,Gumla,4,0,0,4,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,2,0,0,0
2019-20,Jharkhand,Hazaribagh,26,0,2,8,7,7,1,1,49,0,0,15,28,4,2,0,0,0,0,0,0,0,0,0,75,0,2,23,35,11,3,1
2019-20,Jharkhand,Jamshedpur,37,0,3,2,14,14,4,0,39,0,2,4,19,11,1,2,0,0,0,0,0,0,0,0,76,0,5,6,33,25,5,2
2019-20,Jharkhand,Jamshedpur Railway,5,0,0,0,1,3,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,4,1,0
2019-20,Jharkhand,Jamtara,14,0,3,11,0,0,0,0,21,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,35,0,8,27,0,0,0,0
2019-20,Jharkhand,Khunti,7,0,3,2,2,0,0,0,13,0,3,7,3,0,0,0,0,0,0,0,0,0,0,0,20,0,6,9,5,0,0,0
2019-20,Jharkhand,Koderma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Jharkhand,Latehar,8,0,1,2,2,2,1,0,9,1,0,5,0,1,1,1,0,0,0,0,0,0,0,0,17,1,1,7,2,3,2,1
2019-20,Jharkhand,Lohardagga,7,0,4,3,0,0,0,0,25,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,32,0,15,17,0,0,0,0
2019-20,Jharkhand,Pakur,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2019-20,Jharkhand,Palamu,25,0,5,5,11,1,0,3,41,0,5,7,24,4,1,0,0,0,0,0,0,0,0,0,66,0,10,12,35,5,1,3
2019-20,Jharkhand,Ramgarh,8,0,1,1,2,3,0,1,12,0,4,1,6,1,0,0,0,0,0,0,0,0,0,0,20,0,5,2,8,4,0,1
2019-20,Jharkhand,Ranchi,61,0,5,6,23,14,9,4,75,0,1,10,47,13,2,2,0,0,0,0,0,0,0,0,136,0,6,16,70,27,11,6
2019-20,Jharkhand,Sahebganj,1,0,0,1,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,0,0,0
2019-20,Jharkhand,Saraikela,15,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,13,2,0,0,0,0
2019-20,Jharkhand,Simdega,5,0,5,0,0,0,0,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,0,0,0,0,0
2019-20,Jharkhand,Total Districts ,291,1,61,76,72,51,18,12,408,1,65,136,151,42,7,6,0,0,0,0,0,0,0,0,699,2,126,212,223,93,25,18
2019-20,Karnataka,Bagalkot,46,0,0,1,2,18,19,6,106,2,0,0,63,24,15,2,0,0,0,0,0,0,0,0,152,2,0,1,65,42,34,8
2019-20,Karnataka,Bengaluru City,1506,68,53,3,297,577,326,182,2478,67,83,5,1580,560,111,72,0,0,0,0,0,0,0,0,3984,135,136,8,1877,1137,437,254
2019-20,Karnataka,Bengaluru District,242,12,15,0,51,76,61,27,629,14,21,1,411,144,24,14,0,0,0,0,0,0,0,0,871,26,36,1,462,220,85,41
2019-20,Karnataka,Belagavi District,117,8,8,0,26,41,21,13,245,11,8,0,148,67,6,5,0,0,0,0,0,0,0,0,362,19,16,0,174,108,27,18
2019-20,Karnataka,Ballari,122,9,5,1,46,30,19,12,190,3,5,12,140,21,3,6,0,0,0,0,0,0,0,0,312,12,10,13,186,51,22,18
2019-20,Karnataka,Bidar,43,2,3,7,12,15,4,0,96,0,6,5,35,25,19,6,0,0,0,0,0,0,0,0,139,2,9,12,47,40,23,6
2019-20,Karnataka,Vijayapura,92,1,8,16,35,25,7,0,196,0,11,14,140,30,1,0,0,0,0,0,0,0,0,0,288,1,19,30,175,55,8,0
2019-20,Karnataka,Chikkaballapura,61,0,0,0,18,32,11,0,321,0,4,0,217,90,6,4,0,0,0,0,0,0,0,0,382,0,4,0,235,122,17,4
2019-20,Karnataka,Chamarajnagar,69,3,4,0,17,21,14,10,130,4,4,0,95,19,5,3,0,0,0,0,0,0,0,0,199,7,8,0,112,40,19,13
2019-20,Karnataka,Chikkamagaluru,105,2,8,0,5,39,36,15,184,8,1,0,1,80,75,19,0,0,0,0,0,0,0,0,289,10,9,0,6,119,111,34
2019-20,Karnataka,Chitradurga,108,3,4,0,20,44,21,16,367,4,9,0,265,76,8,5,0,0,0,0,0,0,0,0,475,7,13,0,285,120,29,21
2019-20,Karnataka,Dakshina Kannada,65,1,0,0,13,18,22,11,60,2,2,1,31,19,3,2,0,0,0,0,0,0,0,0,125,3,2,1,44,37,25,13
2019-20,Karnataka,Davanagere,124,7,11,2,37,39,15,13,290,8,4,13,221,28,9,7,0,0,0,0,0,0,0,0,414,15,15,15,258,67,24,20
2019-20,Karnataka,Dharwad,32,0,0,0,4,12,10,6,52,0,0,0,45,6,1,0,0,0,0,0,0,0,0,0,84,0,0,0,49,18,11,6
2019-20,Karnataka,Gadag,15,3,1,0,5,2,3,1,77,5,2,0,50,16,3,1,0,0,0,0,0,0,0,0,92,8,3,0,55,18,6,2
2019-20,Karnataka,Kalaburgi,33,0,0,0,15,13,4,1,74,0,1,0,65,7,0,1,0,0,0,0,0,0,0,0,107,0,1,0,80,20,4,2
2019-20,Karnataka,Hassan,134,6,5,2,22,44,36,19,318,2,3,0,228,66,16,3,0,0,0,0,0,0,0,0,452,8,8,2,250,110,52,22
2019-20,Karnataka,Haveri,75,0,0,4,12,24,31,4,205,0,0,9,116,58,14,8,0,0,0,0,0,0,0,0,280,0,0,13,128,82,45,12
2019-20,Karnataka,Hubballi Dharwad City,63,1,1,0,9,17,30,5,72,2,6,3,52,5,3,1,0,0,0,0,0,0,0,0,135,3,7,3,61,22,33,6
2019-20,Karnataka,K.G.F.,26,2,0,0,5,5,12,2,73,2,2,6,57,5,0,1,0,0,0,0,0,0,0,0,99,4,2,6,62,10,12,3
2019-20,Karnataka,Kodagu,70,0,0,11,20,30,4,5,124,0,0,11,45,59,7,2,0,0,0,0,0,0,0,0,194,0,0,22,65,89,11,7
2019-20,Karnataka,Kolar,83,3,5,1,30,24,11,9,224,6,9,3,175,25,2,4,0,0,0,0,0,0,0,0,307,9,14,4,205,49,13,13
2019-20,Karnataka,Koppal,46,0,0,0,9,20,13,4,121,0,0,15,76,23,4,3,0,0,0,0,0,0,0,0,167,0,0,15,85,43,17,7
2019-20,Karnataka,Mandya,212,18,10,0,28,72,48,36,481,17,17,2,322,87,26,10,0,0,0,0,0,0,0,0,693,35,27,2,350,159,74,46
2019-20,Karnataka,Mangaluru City,90,0,1,0,24,36,22,7,73,0,0,0,58,10,3,2,0,0,0,0,0,0,0,0,163,0,1,0,82,46,25,9
2019-20,Karnataka,Mysuru City,155,7,5,0,45,39,36,23,201,10,3,1,141,24,12,10,0,0,0,0,0,0,0,0,356,17,8,1,186,63,48,33
2019-20,Karnataka,Mysuru District,169,11,2,1,54,44,32,25,344,9,8,1,286,30,3,7,0,0,0,0,0,0,0,0,513,20,10,2,340,74,35,32
2019-20,Karnataka,Raichur,59,6,4,1,24,16,4,4,137,2,7,4,116,5,3,0,0,0,0,0,0,0,0,0,196,8,11,5,140,21,7,4
2019-20,Karnataka,K.Railways,14,0,0,0,5,4,4,1,8,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,22,0,0,0,10,5,5,2
2019-20,Karnataka,Ramanagara,147,14,7,0,23,41,34,28,321,11,15,2,196,70,16,11,0,0,0,0,0,0,0,0,468,25,22,2,219,111,50,39
2019-20,Karnataka,Shimoga,235,13,9,0,75,80,35,23,499,23,12,1,400,47,12,4,0,0,0,0,0,0,0,0,734,36,21,1,475,127,47,27
2019-20,Karnataka,Tumakuru,172,10,10,2,52,48,24,26,434,11,4,4,358,42,3,12,0,0,0,0,0,0,0,0,606,21,14,6,410,90,27,38
2019-20,Karnataka,Udupi,73,0,0,1,12,23,28,9,82,2,6,3,42,25,4,0,0,0,0,0,0,0,0,0,155,2,6,4,54,48,32,9
2019-20,Karnataka,Uttara Kannada,80,4,2,2,24,29,12,7,144,3,3,0,117,11,7,3,0,0,0,0,0,0,0,0,224,7,5,2,141,40,19,10
2019-20,Karnataka,Yadgiri,26,0,0,5,5,9,4,3,41,0,0,4,33,2,2,0,0,0,0,0,0,0,0,0,67,0,0,9,38,11,6,3
2019-20,Karnataka,Belagavi City,65,0,6,3,12,18,18,8,77,0,3,3,55,10,5,1,0,0,0,0,0,0,0,0,142,0,9,6,67,28,23,9
2019-20,Karnataka,Kalaburgi City,24,4,2,1,5,9,2,1,68,2,2,0,60,4,0,0,0,0,0,0,0,0,0,0,92,6,4,1,65,13,2,1
2019-20,Karnataka,Total Districts ,4798,218,189,64,1098,1634,1033,562,9542,230,261,123,6445,1821,432,230,0,0,0,0,0,0,0,0,14340,448,450,187,7543,3455,1465,792
2019-20,Kerala,Alapuzha,158,5,9,15,36,34,31,28,521,3,11,21,402,66,11,7,0,0,0,0,0,0,0,0,679,8,20,36,438,100,42,35
2019-20,Kerala,Ernakulam Commr.,128,1,4,13,30,30,30,20,163,0,2,11,111,28,8,3,0,0,0,0,0,0,0,0,291,1,6,24,141,58,38,23
2019-20,Kerala,Ernakulam Rural,187,5,7,21,50,49,31,24,349,3,14,17,225,69,13,8,0,0,0,0,0,0,0,0,536,8,21,38,275,118,44,32
2019-20,Kerala,Idukki,122,4,12,17,45,21,13,10,256,3,2,19,171,48,9,4,0,0,0,0,0,0,0,0,378,7,14,36,216,69,22,14
2019-20,Kerala,Kannur,94,7,11,7,9,21,29,10,205,5,10,15,121,46,5,3,0,0,0,0,0,0,0,0,299,12,21,22,130,67,34,13
2019-20,Kerala,Kasargod,78,6,8,6,18,18,13,9,133,7,10,6,92,16,1,1,0,0,0,0,0,0,0,0,211,13,18,12,110,34,14,10
2019-20,Kerala,Kollam Commr.,161,8,12,25,36,27,31,22,542,12,12,39,397,59,17,6,0,0,0,0,0,0,0,0,703,20,24,64,433,86,48,28
2019-20,Kerala,Kollam Rural,190,7,18,12,23,40,50,40,506,8,8,16,360,90,15,9,0,0,0,0,0,0,0,0,696,15,26,28,383,130,65,49
2019-20,Kerala,Kottayam,129,3,4,9,41,27,32,13,295,4,8,28,197,44,11,3,0,0,0,0,0,0,0,0,424,7,12,37,238,71,43,16
2019-20,Kerala,Kozhikode Commr.,105,7,5,20,24,22,16,11,179,0,4,24,113,33,4,1,0,0,0,0,0,0,0,0,284,7,9,44,137,55,20,12
2019-20,Kerala,Kozhikode Rural,140,10,14,12,18,37,38,11,325,3,14,13,215,59,16,5,0,0,0,0,0,0,0,0,465,13,28,25,233,96,54,16
2019-20,Kerala,Malappuram,204,10,21,42,51,25,30,25,355,7,13,16,261,46,6,6,0,0,0,0,0,0,0,0,559,17,34,58,312,71,36,31
2019-20,Kerala,Palakkad,174,12,11,15,38,40,34,24,432,7,9,40,265,79,23,9,0,0,0,0,0,0,0,0,606,19,20,55,303,119,57,33
2019-20,Kerala,Pathanamthitta,110,5,7,6,23,28,23,18,95,4,4,17,21,39,5,5,0,0,0,0,0,0,0,0,205,9,11,23,44,67,28,23
2019-20,Kerala,Railways,15,0,0,1,5,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,5,6,1,2
2019-20,Kerala,Thrissur Commr.,151,4,15,12,27,45,29,19,312,13,14,27,186,50,7,15,0,0,0,0,0,0,0,0,463,17,29,39,213,95,36,34
2019-20,Kerala,Thrissur Rural,145,3,8,6,46,29,34,19,757,241,2,8,19,287,164,36,0,0,0,0,0,0,0,0,902,244,10,14,65,316,198,55
2019-20,Kerala,Trivandrum Commr.,148,0,3,14,39,43,31,18,405,3,7,19,277,86,5,8,0,0,0,0,0,0,0,0,553,3,10,33,316,129,36,26
2019-20,Kerala,Trivandrum Rural,264,9,13,57,75,44,38,28,427,8,18,32,279,61,18,11,13,1,1,1,1,3,3,3,704,18,32,90,355,108,59,42
2019-20,Kerala,Wayanadu,71,8,4,6,8,19,17,9,137,9,6,8,89,19,4,2,0,0,0,0,0,0,0,0,208,17,10,14,97,38,21,11
2019-20,Kerala,Crime Branch,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2019-20,Kerala,Total Districts ,2774,114,186,316,642,605,551,360,6395,341,168,376,3801,1225,342,142,14,2,1,1,1,3,3,3,9183,457,355,693,4444,1833,896,505
2019-20,Madhya Pradesh,Agar,61,0,0,5,25,16,12,3,163,0,4,28,110,19,2,0,0,0,0,0,0,0,0,0,224,0,4,33,135,35,14,3
2019-20,Madhya Pradesh,Alirajpur,53,0,0,4,16,22,11,0,375,1,13,77,232,44,8,0,0,0,0,0,0,0,0,0,428,1,13,81,248,66,19,0
