Year,State,District,Total_Male,Male_Below_5_years,Male_5_years_&_Above_Below_14_years,Male_14_years_&_Above_Below_18_years,Male_18_years_&_Above_Below_30_years,Male_30_years_&_Above_Below_45_years,Male_45_years_&_Above_Below_60_years,Male_60_years_&_Above,Total_Female,Female_Below_5_years,Female_5_years_&_Above_Below_14_years,Female_14_years_&_Above_Below_18_years,Female_18_years_&_Above_Below_30_years,Female_30_years_&_Above_Below_45_years,Female_45_years_&_Above_Below_60_years,Female_60_years_&_Above,Total_Transgender,Transgender_Below_5_years,Transgender_5_years_&_Above_Below_14_years,Transgender_14_years_&_Above_Below_18_years,Transgender_18_years_&_Above_Below_30_years,Transgender_30_years_&_Above_Below_45_years,Transgender_45_years_&_Above_Below_60_years,Transgender_60_years_&_Above,Grand_Total,Total_Below_5_years,Total_5_years_&_Above_Below_14_years,Total_14_years_&_Above_Below_18_years,Total_18_years_&_Above_Below_30_years,Total_30_years_&_Above_Below_45_years,Total_45_years_&_Above_Below_60_years,Total_60_years_&_Above
2018-19,Uttar Pradesh,Mathura,5,0,0,3,2,0,0,0,18,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,23,0,0,14,9,0,0,0
2018-19,Uttar Pradesh,Mau,18,0,0,0,9,4,2,3,27,0,0,2,17,6,1,1,0,0,0,0,0,0,0,0,45,0,0,2,26,10,3,4
2018-19,Uttar Pradesh,Meerut,109,0,3,5,42,29,26,4,107,0,3,3,73,16,5,7,0,0,0,0,0,0,0,0,216,0,6,8,115,45,31,11
2018-19,Uttar Pradesh,Mirzapur,59,1,4,14,28,7,5,0,92,0,3,26,48,10,4,1,0,0,0,0,0,0,0,0,151,1,7,40,76,17,9,1
2018-19,Uttar Pradesh,Moradabad,254,1,24,31,82,72,34,10,244,0,16,52,101,55,12,8,0,0,0,0,0,0,0,0,498,1,40,83,183,127,46,18
2018-19,Uttar Pradesh,Muzaffarnagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Uttar Pradesh,Pilibhit,67,1,3,5,17,28,9,4,49,0,2,2,25,14,5,1,0,0,0,0,0,0,0,0,116,1,5,7,42,42,14,5
2018-19,Uttar Pradesh,Pratapgarh,16,0,2,3,8,3,0,0,23,0,11,7,5,0,0,0,0,0,0,0,0,0,0,0,39,0,13,10,13,3,0,0
2018-19,Uttar Pradesh,Raibareilly,33,0,2,7,9,6,7,2,47,0,4,12,20,7,2,2,0,0,0,0,0,0,0,0,80,0,6,19,29,13,9,4
2018-19,Uttar Pradesh,Rampur,2,0,0,2,0,0,0,0,9,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,11,0,0,6,3,2,0,0
2018-19,Uttar Pradesh,Saharanpur,120,1,3,10,39,32,26,9,88,0,5,9,39,29,6,0,0,0,0,0,0,0,0,0,208,1,8,19,78,61,32,9
2018-19,Uttar Pradesh,Sambhal,22,1,2,2,9,5,1,2,23,0,4,2,10,5,1,1,0,0,0,0,0,0,0,0,45,1,6,4,19,10,2,3
2018-19,Uttar Pradesh,Sant Kabirnagar,23,0,1,1,9,3,5,4,61,0,3,27,25,6,0,0,0,0,0,0,0,0,0,0,84,0,4,28,34,9,5,4
2018-19,Uttar Pradesh,Shahjahanpur,72,0,10,7,29,13,9,4,77,0,6,17,36,14,4,0,0,0,0,0,0,0,0,0,149,0,16,24,65,27,13,4
2018-19,Uttar Pradesh,Shamli,40,1,1,2,18,10,5,3,43,0,4,3,22,11,3,0,0,0,0,0,0,0,0,0,83,1,5,5,40,21,8,3
2018-19,Uttar Pradesh,Shrawasti,11,0,0,1,9,1,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,6,9,1,0,0
2018-19,Uttar Pradesh,Sidharthnagar,34,0,5,3,7,12,3,4,27,0,2,3,15,6,0,1,0,0,0,0,0,0,0,0,61,0,7,6,22,18,3,5
2018-19,Uttar Pradesh,Sitapur,148,0,12,46,44,27,10,9,160,0,10,43,75,23,5,4,0,0,0,0,0,0,0,0,308,0,22,89,119,50,15,13
2018-19,Uttar Pradesh,Sonbhadra,70,0,12,8,23,14,8,5,110,0,8,18,67,15,1,1,0,0,0,0,0,0,0,0,180,0,20,26,90,29,9,6
2018-19,Uttar Pradesh,Bhadohi,19,0,9,10,0,0,0,0,28,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,47,0,10,37,0,0,0,0
2018-19,Uttar Pradesh,Sultanpur,17,0,0,5,4,5,1,2,35,0,0,11,20,3,1,0,0,0,0,0,0,0,0,0,52,0,0,16,24,8,2,2
2018-19,Uttar Pradesh,Unnao,69,2,12,16,16,14,7,2,83,3,7,32,21,13,5,2,0,0,0,0,0,0,0,0,152,5,19,48,37,27,12,4
2018-19,Uttar Pradesh,Varanasi,195,3,10,14,58,63,31,16,167,0,8,30,80,35,6,8,0,0,0,0,0,0,0,0,362,3,18,44,138,98,37,24
2018-19,Uttar Pradesh,Total,4980,33,463,787,1632,1128,636,301,5828,18,336,1547,2648,953,225,101,0,0,0,0,0,0,0,0,10808,51,799,2334,4280,2081,861,402
2018-19,Uttarakhand,Almora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Uttarakhand,Bageshwar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Uttarakhand,Chamoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Uttarakhand,Champawat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Uttarakhand,Dehradun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Uttarakhand,Haridwar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Uttarakhand,Nainital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Uttarakhand,Pauri Garhwal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Uttarakhand,Pithoragarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Uttarakhand,Rudra Prayag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Uttarakhand,Tehri Garhwal,1018,15,75,146,375,282,100,25,1175,23,103,177,420,272,150,30,0,0,0,0,0,0,0,0,2193,38,178,323,795,554,250,55
2018-19,Uttarakhand,Udhamsingh Nagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Uttarakhand,Uttarkashi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Uttarakhand,GRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Uttarakhand,Total,1018,15,75,146,375,282,100,25,1175,23,103,177,420,272,150,30,0,0,0,0,0,0,0,0,2193,38,178,323,795,554,250,55
2018-19,West Bengal,Alipurduar,299,0,9,17,76,131,52,14,720,1,8,139,284,229,50,9,0,0,0,0,0,0,0,0,1019,1,17,156,360,360,102,23
2018-19,West Bengal,Asansol-Durgapur PC,523,2,13,22,145,167,118,56,697,3,9,61,366,189,46,23,0,0,0,0,0,0,0,0,1220,5,22,83,511,356,164,79
2018-19,West Bengal,Bankura,373,1,10,19,96,131,77,39,674,0,7,84,364,157,42,20,0,0,0,0,0,0,0,0,1047,1,17,103,460,288,119,59
2018-19,West Bengal,Barrackpur PC,1377,2,53,84,276,439,353,170,1837,1,90,380,710,419,152,85,0,0,0,0,0,0,0,0,3214,3,143,464,986,858,505,255
2018-19,West Bengal,Bidhannagar PC,379,1,9,19,68,136,88,58,587,0,18,112,245,154,37,21,0,0,0,0,0,0,0,0,966,1,27,131,313,290,125,79
2018-19,West Bengal,Birbhum,238,0,5,5,68,89,49,22,405,0,5,42,211,119,23,5,0,0,0,0,0,0,0,0,643,0,10,47,279,208,72,27
2018-19,West Bengal,Coochbehar,407,0,18,22,121,154,71,21,1126,2,31,151,533,334,67,8,0,0,0,0,0,0,0,0,1533,2,49,173,654,488,138,29
2018-19,West Bengal,Dakshin Dinajpur,302,2,13,23,116,72,52,24,913,1,16,184,580,115,14,3,0,0,0,0,0,0,0,0,1215,3,29,207,696,187,66,27
2018-19,West Bengal,Darjeeling,126,0,4,6,22,53,29,12,303,0,3,31,129,123,15,2,0,0,0,0,0,0,0,0,429,0,7,37,151,176,44,14
2018-19,West Bengal,Hooghly Rural Police,434,2,11,23,96,180,84,38,972,1,21,213,441,222,53,21,0,0,0,0,0,0,0,0,1406,3,32,236,537,402,137,59
2018-19,West Bengal,Howrah GRP,74,3,1,4,28,16,13,9,28,0,0,4,16,3,4,1,0,0,0,0,0,0,0,0,102,3,1,8,44,19,17,10
2018-19,West Bengal,Howrah PC,786,7,43,58,279,202,115,82,876,8,24,129,484,137,47,47,0,0,0,0,0,0,0,0,1662,15,67,187,763,339,162,129
2018-19,West Bengal,Howrah Rural,525,0,25,19,120,180,125,56,1106,0,21,265,483,261,50,26,0,0,0,0,0,0,0,0,1631,0,46,284,603,441,175,82
2018-19,West Bengal,Jalpaiguri,359,1,10,13,113,139,60,23,816,1,4,83,448,234,31,15,0,0,0,0,0,0,0,0,1175,2,14,96,561,373,91,38
2018-19,West Bengal,Jhargram,94,0,0,6,37,27,7,17,239,0,4,47,136,30,10,12,0,0,0,0,0,0,0,0,333,0,4,53,173,57,17,29
2018-19,West Bengal,Kharagpur GRP,10,0,0,1,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,5,3,1,1
2018-19,West Bengal,Kolkata,2339,15,119,189,458,657,577,324,2584,25,90,551,942,577,235,164,0,0,0,0,0,0,0,0,4923,40,209,740,1400,1234,812,488
2018-19,West Bengal,Malda,536,4,37,46,153,178,80,38,1083,5,26,196,516,285,45,10,0,0,0,0,0,0,0,0,1619,9,63,242,669,463,125,48
2018-19,West Bengal,Murshidabad,654,2,14,16,223,274,91,34,1796,0,8,30,996,668,63,31,0,0,0,0,0,0,0,0,2450,2,22,46,1219,942,154,65
2018-19,West Bengal,Nadia,958,5,27,50,253,333,215,75,2468,5,32,355,1156,760,116,44,0,0,0,0,0,0,0,0,3426,10,59,405,1409,1093,331,119
2018-19,West Bengal,Paschim Medinipur,545,1,11,40,132,182,141,38,1260,1,16,333,609,237,44,20,0,0,0,0,0,0,0,0,1805,2,27,373,741,419,185,58
2018-19,West Bengal,Purab Medinipur,316,1,17,18,117,85,53,25,974,2,12,244,549,116,34,17,0,0,0,0,0,0,0,0,1290,3,29,262,666,201,87,42
2018-19,West Bengal,Purulia,155,0,3,3,74,45,23,7,273,0,4,18,203,26,12,10,0,0,0,0,0,0,0,0,428,0,7,21,277,71,35,17
2018-19,West Bengal,Sealdah GRP,17,0,3,0,7,3,3,1,28,0,1,5,16,1,2,3,0,0,0,0,0,0,0,0,45,0,4,5,23,4,5,4
2018-19,West Bengal,Siliguri GRP,6,0,0,0,2,3,0,1,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,4,0,1
2018-19,West Bengal,Siliguri PC,511,5,28,35,130,195,81,37,958,4,22,229,386,252,50,15,0,0,0,0,0,0,0,0,1469,9,50,264,516,447,131,52
2018-19,West Bengal,Uttar Dinajpur,216,2,6,18,82,62,42,4,547,0,4,39,330,150,18,6,0,0,0,0,0,0,0,0,763,2,10,57,412,212,60,10
2018-19,West Bengal,Baruipur Police,540,3,27,41,116,206,88,59,1133,3,45,256,446,268,59,56,0,0,0,0,0,0,0,0,1673,6,72,297,562,474,147,115
2018-19,West Bengal,Chandannagar PC,390,0,15,11,87,114,104,59,550,0,11,75,243,137,58,26,0,0,0,0,0,0,0,0,940,0,26,86,330,251,162,85
2018-19,West Bengal,Diamond Harbour Police,629,3,40,44,142,213,134,53,1331,4,37,311,538,320,87,34,0,0,0,0,0,0,0,0,1960,7,77,355,680,533,221,87
2018-19,West Bengal,Kalimpong,53,1,2,7,9,23,9,2,122,0,1,18,41,58,4,0,0,0,0,0,0,0,0,0,175,1,3,25,50,81,13,2
2018-19,West Bengal,Purba Bardhaman,434,1,13,26,101,164,100,29,1007,2,27,252,417,246,44,19,0,0,0,0,0,0,0,0,1441,3,40,278,518,410,144,48
2018-19,West Bengal,Sundarban Police,210,2,6,14,55,71,45,17,590,1,11,52,314,162,40,10,0,0,0,0,0,0,0,0,800,3,17,66,369,233,85,27
2018-19,West Bengal,Barasat,892,1,29,87,198,303,189,85,2236,0,45,562,875,576,121,57,0,0,0,0,0,0,0,0,3128,1,74,649,1073,879,310,142
2018-19,West Bengal,Basirhat,331,0,11,21,86,127,73,13,1056,0,17,308,399,268,55,9,0,0,0,0,0,0,0,0,1387,0,28,329,485,395,128,22
2018-19,West Bengal,Total,16038,67,632,1007,4090,5357,3342,1543,31299,70,670,5759,14409,7834,1728,829,0,0,0,0,0,0,0,0,47337,137,1302,6766,18499,13191,5070,2372
2018-19,AN Islands,South Andaman,79,3,2,5,27,24,12,6,95,3,6,24,30,23,3,6,0,0,0,0,0,0,0,0,174,6,8,29,57,47,15,12
2018-19,AN Islands,North & Middle Andaman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,AN Islands,Nicobar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,AN Islands,Total,79,3,2,5,27,24,12,6,95,3,6,24,30,23,3,6,0,0,0,0,0,0,0,0,174,6,8,29,57,47,15,12
2018-19,Chandigarh,All Districts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Chandigarh,Chandigarh,332,4,26,37,116,82,40,27,465,4,20,111,262,47,13,8,0,0,0,0,0,0,0,0,797,8,46,148,378,129,53,35
2018-19,Chandigarh,Total,332,4,26,37,116,82,40,27,465,4,20,111,262,47,13,8,0,0,0,0,0,0,0,0,797,8,46,148,378,129,53,35
2018-19,DN Haveli,All Districts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,DN Haveli,D&N Haveli,19,0,0,0,10,4,5,0,50,0,0,3,36,10,1,0,0,0,0,0,0,0,0,0,69,0,0,3,46,14,6,0
2018-19,DN Haveli,Total,19,0,0,0,10,4,5,0,50,0,0,3,36,10,1,0,0,0,0,0,0,0,0,0,69,0,0,3,46,14,6,0
2018-19,Daman Diu,Daman,42,0,4,1,20,13,4,0,71,0,3,9,53,6,0,0,0,0,0,0,0,0,0,0,113,0,7,10,73,19,4,0
2018-19,Daman Diu,Diu,11,0,0,0,6,3,1,1,11,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,22,0,0,0,15,4,1,2
2018-19,Daman Diu,Total,53,0,4,1,26,16,5,1,82,0,3,9,62,7,0,1,0,0,0,0,0,0,0,0,135,0,7,10,88,23,5,2
2018-19,Delhi,Central,493,6,33,97,158,124,49,26,469,8,25,112,165,142,5,12,0,0,0,0,0,0,0,0,962,14,58,209,323,266,54,38
2018-19,Delhi,Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Delhi,East,594,1,60,43,246,149,64,31,709,0,57,127,406,87,10,22,0,0,0,0,0,0,0,0,1303,1,117,170,652,236,74,53
2018-19,Delhi,EOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Delhi,IGI Airport,15,0,0,0,7,6,2,0,5,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,11,7,2,0
2018-19,Delhi,Metro,25,1,1,1,10,5,4,3,13,0,1,2,7,2,1,0,0,0,0,0,0,0,0,0,38,1,2,3,17,7,5,3
2018-19,Delhi,New Delhi,128,1,11,16,52,34,11,3,86,0,5,18,44,9,6,4,0,0,0,0,0,0,0,0,214,1,16,34,96,43,17,7
2018-19,Delhi,North,541,2,25,48,257,158,34,17,577,3,34,136,219,163,14,8,0,0,0,0,0,0,0,0,1118,5,59,184,476,321,48,25
2018-19,Delhi,North-East,1057,9,108,93,461,239,72,75,1380,7,73,269,829,145,25,32,0,0,0,0,0,0,0,0,2437,16,181,362,1290,384,97,107
2018-19,Delhi,North-West,845,5,68,133,345,198,73,23,937,1,74,236,390,201,27,8,0,0,0,0,0,0,0,0,1782,6,142,369,735,399,100,31
2018-19,Delhi,Outer,950,1,58,97,431,229,92,42,1315,2,53,304,696,192,46,22,0,0,0,0,0,0,0,0,2265,3,111,401,1127,421,138,64
2018-19,Delhi,RAILWAY,112,8,11,2,42,27,11,11,92,7,9,2,45,17,6,6,0,0,0,0,0,0,0,0,204,15,20,4,87,44,17,17
2018-19,Delhi,South,796,14,44,111,316,196,80,35,1003,16,60,212,518,144,33,20,0,0,0,0,0,0,0,0,1799,30,104,323,834,340,113,55
2018-19,Delhi,South-East,714,6,69,111,271,151,70,36,972,4,83,228,487,129,27,14,0,0,0,0,0,0,0,0,1686,10,152,339,758,280,97,50
2018-19,Delhi,South-West,557,12,39,62,203,166,64,11,793,17,46,188,369,149,18,6,0,0,0,0,0,0,0,0,1350,29,85,250,572,315,82,17
2018-19,Delhi,Spl Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Delhi,SPUWAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Delhi,Vigilance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Delhi,West,626,0,21,95,320,173,15,2,801,4,37,189,367,188,12,4,0,0,0,0,0,0,0,0,1427,4,58,284,687,361,27,6
2018-19,Delhi,Rohini,835,7,59,136,327,207,76,23,1134,14,67,284,536,183,35,15,0,0,0,0,0,0,0,0,1969,21,126,420,863,390,111,38
2018-19,Delhi,Shahdara,653,6,64,43,254,169,68,49,734,2,62,171,384,79,24,12,0,0,0,0,0,0,0,0,1387,8,126,214,638,248,92,61
2018-19,Delhi,Dwarka,930,6,64,115,264,287,131,63,1222,2,36,302,525,286,37,34,0,0,0,0,0,0,0,0,2152,8,100,417,789,573,168,97
2018-19,Delhi,Outer North,1003,32,121,122,383,223,93,29,1302,19,104,345,634,153,37,10,0,0,0,0,0,0,0,0,2305,51,225,467,1017,376,130,39
2018-19,Delhi,Total,10874,117,856,1325,4347,2741,1009,479,13544,106,826,3125,6625,2270,363,229,0,0,0,0,0,0,0,0,24418,223,1682,4450,10972,5011,1372,708
2018-19,Lakshadweep,Lakshadweep,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2018-19,Lakshadweep,Total,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2018-19,Puducherry,Karaikal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Puducherry,Puducherry,78,2,4,6,25,16,16,9,138,7,10,19,87,4,2,9,0,0,0,0,0,0,0,0,216,9,14,25,112,20,18,18
2018-19,Puducherry,Total,78,2,4,6,25,16,16,9,138,7,10,19,87,4,2,9,0,0,0,0,0,0,0,0,216,9,14,25,112,20,18,18
